type,content,title,group,poll_id,areena_id,areena_caption,ims_id,image_caption,image_copyright,background,extra,areena_extra,footer,internal comment
paragraph_section,"#### Harjoitus tuntuu vaikealta enkä pysty keskittymään. Mitä teen?

**Mona:** Onnittelut! Olet huomannut, että et jaksa keskittyä. Se on jo ensimmäinen askel. Yllättävän monen mieli on levoton ja on vaikea erottaa sitä, milloin keskittyminen ei onnistu. Älä lannistu. Emme ole erityisen innokkaita harjoittelemaan asioita, jotka ovat meille vaikeita. Aloita harjoitus alusta tai kokeile harjoitusta myöhemmin uudelleen.

#### Sain harjoituksen tehtyä. Miltä nyt pitäisi tuntua?

**Mona:** Vaikutuksia voi huomata jo heti harjoituksen jälkeen: mieli on levollisempi – ikään kuin tyhjempi, syke rauhallisempi ja ajatus kirkkaampi. Jos et kuitenkaan huomaa itsessäsi muutoksia harjoituksen jälkeen, ei hätää. Voit kiittää itseäsi siitä, että teit harjoituksen ja yritit.

#### Olen tehnyt harjoituksia ahkerasti. Kuinka nopeasti voi huomata muutoksia omassa arjessa?

**Mona:** Jos harjoituksia tekee joka päivä muutamankin viikon ajan, voi huomata vielä merkittävämpiä muutoksia arjessaan. Uni on syvempää ja palaudumme arjen pyörityksestä paremmin. Silloin olemme myös tehokkaampia. Ajatus- ja suorituskykymme ovat parempia, koska aivot saavat tarvitsemaansa lepoaikaa. Aivot oppivat, että niiden ei tarvitse työskennellä niin kovin.",,,,,,,,,,,,,
title_section,,Mitä mieltä harjoituksista?,,,,,,,,,,,,
poll_section,,,,47-3d89b31f-9e30-4006-87fb-ba2182721986,,,,,,,,,,
poll_section,,,,47-28a30b62-48be-4102-9f7e-79ae0e151eb2,,,,,,,,,,
poll_section,,,,47-84c475c1-f3b0-44c0-aa3e-ea62ac50531e,,,,,,,,,,
paragraph_section,"Haluaisimme kuulla vielä tarkemmin, mitä pidit harjoituskokonaisuudesta! [Anna meille palautetta tällä lomakkeella (siirryt google formsiin).](https://forms.gle/2Gs4Dk2yu78M21vQ8)",,,,,,,,,,,,,
title_section,,Kiinnostuitko aiheesta?,,,,,,,,,,,,
paragraph_section,"Mona Moisala kertoo lisää keskittymiskyvystä ja aivojen muovautuvuudesta [Tämäkin on totta](https://areena.yle.fi/1-61690732) -miniluentosarjan jaksossa Yle Areenassa. 

Jos innostuit aistikävelyharjoituksesta, kokeile myös Superihmiset-tiedesarjassa esiteltyä [kävelymeditaatiota](https://yle.fi/aihe/a/20-10004982).

**Mona Moisalalta oli 21.11. vastaamassa chatissa aivoihin ja keskittymiskykyyn liittyviin kysymyksiin. Pääset lukemaan chatin jälkikäteen tästä](https://chat.yle.fi/keskittymiskyky).**",,,,,,,,,,,,,
title_section,,Tutustu muihin kurssisisältöihin!,,,,,,,,,,,,
paragraph_section,Haluatko oppia paremmaksi keskittyjäksi? Etsitkö helppoja keinoja rentoutua? Kiinnostavatko muistitekniikat tai kutsumuskarttaharjoitus? Vai haluatko löytää apua eron pohtimiseen?  [Ylen kurssisisällöt tarjoavat arkeen mahtuvia harjoitteita tavoitteidesi saavuttamiseen.](https://yle.fi/aihe/a/20-10005632).,,,,,,,,,,,,,
paragraph_section,"**Tekijät:**\
Toimittaja: Anna Horppu\
Kuvat: Anu Heikkinen, Jade Lönnqvist\
Visuaalisuus: Tomi Paijo\
Koodaus: Teemo Tebest\
Editointi ja tuotanto: Henna-Leena Kallio, Tiia Lappalainen\
Sometoimittaja: Anni Huttunen\
Tuottajat: Anna-Leena Lappalainen, Lulu Salmi

**Julkaistu:** 18.11.2023, *muokattu 7.12. klo 13.00, poistettu wa-yhteisön linkki, koska yhteisön toiminta loppui.*",,,,,,,,,,,,,
