type,content,title,group,poll_id,areena_id,areena_caption,ims_id,image_caption,image_copyright,background,extra,areena_extra,footer,internal comment
exercise,"*Videon sisältö tiivistettynä: Kun tapellaan rahasta, tapellaan usein myös jostain ihan muusta. Kriisitilanne paljastaa usein myös sen, onko suhteen raha-asiat mennyt reilusti molempien mielestä. Paras keino estää rahariitoja on hyvä erokeskustelu. Kun tunteet käsitellään erikseen, on käytännön asioista helpompi sopia rauhassa.*

#### Tehtävät:

**Tee tulevaisuussuunnitelma**\
Mieti, miten voit huolehtia, että sinulla on omaa rahaa myös mahdollisissa tulevissa suhteissa. Millaisia keinoja sinulla on olla taloudellisesti itsenäinen?

**Ota haltuun nämä asianajajan ohjeet**

1. **Älä luota sokeasti**\
Älä allekirjoita minkäänlaisia raha-asioita koskevia sopimuksia tai asiakirjoja, jos et ole varma niiden sisällöstä tai et ymmärrä niiden merkitystä. Jos kumppanisi haluaa esimerkiksi tehdä avioehdon vaikkapa vuosia liiton solmimisen jälkeen, mieti tarkkaan, mitä se sinun kannaltasi tarkoittaa. Varmista myös aina ennen allekirjoittamista, että joku huolehtii tilanteessa myös sinun eduistasi.

2. **Kuuntele hälytyskellojasi**\
Omista oikeuksistasi huolehtiminen ei tarkoita, ettetkö luottaisi toiseen. Sokea luottaminen voi kuitenkin joissain tilanteissa kostautua, joten tervettä järkeä ja skeptisyyttä on hyvä pitää mukana kaikenlaisten sopimusten tekemisessä vaikka suhde tai ero olisikin sopuisa.

3. **Pyydä apua**\
Internet on pullollaan erilaisia sopimuspohjia, joiden avulla raha-asioiden hoitaminen saattaa eron hetkellä tuntua helpolta ja halvalta ratkaisulta. Mieti kuitenkin tarkkaan, olisiko sittenkin parempi vaihtoehto hyödyntää ammattilaisen apua. Jos ero on sopuisa, eikä kummallakaan osapuolella ole suurempia vaatimuksia, voi asianajajan palkkio jäädä lopulta melko pieneksi. Samalla varmistat, että raha-asiat hoidetaan kerralla oikein.

4. **Tunnista kipurajasi ja huolehdi itsestäsi**\
Raha-asiat voivat aiheuttaa isojakin riitoja. Mitä isommaksi riita nousee, sitä kalliimmaksi se tulee. Jos raha-asioita ei saada sovittua vaan tilanne kärjistyy, voi taistelun hinta olla lopulta jopa kymmeniätuhansia euroja. Siksi on tärkeää miettiä, missä oma kipuraja kulkee. Millaisista summista ja asioista on valmis riitelemään tai millaisella kompromissilla voisi päästä kohtuulliseen sopimukseen? Mikä on järkevää ja kannattavaa? Mitä riitelyssä on voitettavaa? On myös tärkeää tiedostaa, että riitely vie voimavaroja. Mitä kauemmin tilanne kestää, sitä isommaksi myös henkinen paine kasvaa. 

5. **Huolehdi itsestäsi ja oikeuksistasi**\
Olisi tärkeää huolehtia jatkossakin omista oikeuksista ja raha-asioista myös mahdollisen uuden suhteen aikana. Sopikaa yhdessä esimerkiksi siitä, kuinka omaisuutta hankitaan ja kenen nimiin. Mitä tälle omaisuudelle tapahtuu, jos suhde päättyisikin eroon?

*Ohjeet: Asianajaja Tiina Nystén*

#### Minitarina erosta: ""Se olin aina minä, joka järjesti, selvitti ja maksoi""

Kuuntele Katin tarina rahasta.",Miten raha-asiat hoidetaan?;Tee suunnitelma tulevaisuuden varalle,exercise_3,47-f9dd7d6c-99e7-4a84-a6a2-fb684f3d9bd6,1-70940329;1-70940311,“Hyvä erokeskustelu on paras keino estää rahariitoja”,,,,,erokurssi_3_raha,video_top;audio,"#### Miten raha-asiat hoidetaan erotessa?

Lisää Katin ajatuksia voit kuunnella [Melkein kaikki erosta -podcastista](https://areena.yle.fi/podcastit/1-70720966). Jaksosta saat myös lisää oivalluksia, apua ja tukea.

![](https://lusi-dataviz.ylestatic.fi/2023-kurssipaketti/assets/img/erokurssi_podcast.png)\

Lue ja kuuntele lisää:
* [Melkein kaikki rahasta -podcast: Ero tuli ja rahat meni](https://areena.yle.fi/podcastit/1-50618398)
* [“Nykyään säästötilini nimi on erorahasto” – eronneet kertovat rahaneuvojaan](https://yle.fi/aihe/artikkeli/2020/09/24/nykyaan-saastotilini-nimi-on-erorahasto-eronneet-kertovat-rahaneuvojaan)
* [Avioehto ei aina ole reilu ratkaisu – lue, milloin sen tekeminen kannattaa](https://yle.fi/aihe/artikkeli/2018/11/01/avioehto-ei-aina-ole-reilu-ratkaisu-lue-milloin-sen-tekeminen-kannattaa) 

[Seuraa meitä myös somessa](https://www.instagram.com/ylemelkeinkaikkielamasta/).",
exercise,"*Videon sisältö tiivistettynä: Yksi yleisimmistä eron syistä on avoimuuden puute. Omista tunteista ja tarpeista on hankalaa puhua arjessa, ja usein se näkyy myös seksuaalisuudessa. Syy erolle voi olla myös omaan rooliin kyllästyminen. Toinen ei jaksakaan enää olla se, joka sopii, setvii ja järjestää. Toisaalta syy voi ollakin juuri niihin piirteisiin väsyminen, joihin toisessa aikoinaan rakastuimme.*

#### Tehtävä:

**Mieti, millaisena “myyt” itsesi uusiin ihmissuhteisiin**\
Pohdi, millaisena haluat toisten ihmisten näkevän sinut. Otatko saman roolin kuin aina ennenkin vai haluaisitko mieluummin siitä eroon? Jos olet aiemmin huolehtinut ja järjestänyt, haluatko tehdä niin enää. 

#### Minitarina erosta: ""Me miehetkin osattais avata se suu""

Kuuntele Antin huomioita eron syistä.","Syyt eron taustalla;Pohdi, millaisena haluat muiden sinut näkevän",exercise_4,47-a25fc031-a900-4eff-925c-59ddf3b04c31,1-70940331;1-70940302,“Avoimuuden puute on yksi yleisin eron syy”,,,,,erokurssi_4_yleisimmat_eron_syyt,video_top;audio,"#### Mistä syistä ihmiset eroavat?

Lisää Antin ajatuksia voit kuunnella [Melkein kaikki erosta -podcastista?](https://areena.yle.fi/podcastit/1-70720970). Jaksosta saat myös lisää oivalluksia, apua ja tukea. 

![](https://lusi-dataviz.ylestatic.fi/2023-kurssipaketti/assets/img/erokurssi_podcast.png)\
[Seuraa meitä myös somessa](https://www.instagram.com/ylemelkeinkaikkielamasta/).",
exercise,"*Videon sisältö tiivistettynä: Ero herättää lapsissa luopumisen ja pettymyksen tunteita, joille pitää antaa tilaa. Lapsi kaipaa myös varmuutta siitä, että vanhemmat ovat erosta huolimatta hänen elämässään tukena ja turvana. Kun käsittelet omat eron herättämät tunteesi, annat myös lapselle mahdollisuuden eron käsittelyyn.*

#### Tehtävät:

**Harjoittele erotarina, jonka kerrot lapsille**\
Mieti valmiiksi lyhyt tarina siitä, miten te aikuiset päädyitte yhteen. Mikä elämässänne oli ihanaa, hyvää ja onnellista? Muista myös kertoa lapselle, että kaikki rakkaus häntä kohtaan säilyy vaikka aikuisten suhde päättyykin. Lapsen on tärkeää ymmärtää, ettei ero liity häneen mitenkään eikä lapsi olisi voinut vaikuttaa siihen millään tavalla. 

**Lastenvalvojien neuvot eroperheille**

**1. Pyri sovinnollisuuteen**

Kun sovitte eroon liittyvistä asioista, tärkeintä on keskustella ja yrittää päättää asioista sovussa. Teillä molemmilla voi olla eri näkemys siitä, mikä on lapselle parasta, joten varaudu myös joustamaan omista toiveistasi ja mielipiteistäsi. 

Lapseen liittyvistä asioista sovitaan lastenvalvojien tapaamisessa, johon osallistuvat molemmat vanhemmat. Jos tilanne on tulehtunut ja riitaisa, lastenvalvoja saattaa ohjata teidät ensin sovitteluun tai perheneuvolaan.

Lastenvalvoja muistuttaa, että vanhempina teillä molemmilla on laissa määrätty velvollisuus tukea lapsen suhdetta toiseen vanhempaansa eron jälkeen. Yrittäkää suojella lasta aikuisten keskinäiseltä riitelyltä.

**2. Lapsen etu on tärkein**

Lastenvalvojalla työn keskiössä on aina lapsen etu: sopimuksia tulee tarkastella myös lapsen arjen ja elämän sujuvuuden kannalta. Lapsen ajatukset ja mielipide vanhempien suunnitelmaan liittyen tulee selvittää lapsen ikä ja kehitystaso huomioiden. Mitä vanhempi lapsi on, sitä enemmän hänen näkemyksillään on painoarvoa asumis- ja tapaamisasioissa. 

On hyvä muistaa, että lapsen on hankala muodostaa mielipidettään täysin uudesta elämäntilanteesta heti. Siksi lastenvalvojan luona saatetaan tehdä määräaikaisia sopimuksia tapaamisasioista. Näin lapsi pystyy ensin kokeilemaan, miltä uusi arki tuntuu. Sopimuksia voidaan tarkastella ja muuttaa myöhemmin.

On hyvä huomioida, että ihan pienille, alle 3-vuotiaille, lapsille vuoroasuminen ei ole suositeltava vaihtoehto. Vanhemmilla on usein toive tasa-arvoisesta arjen jakamisesta ja vanhemmuudesta, mutta vuoroasuminen voi olla pienelle lapselle myös kuormittava järjestely.

**3. Asioista sopiminen**

Lastenvalvojalla sovittavia asioita ovat elatusmaksut, tapaamiset, asuminen ja lapsen huoltoon liittyvät asiat. Ennen kuin elatuksesta ja tapaamisoikeudesta voidaan kuitenkaan sopia, pitää olla päätettynä missä lapsi asuu. 

Vanhemmat voivat tehdä asioista keskinäisiä sopimuksia, mutta lastenvalvojan avustuksella tehdyt sopimukset ovat mahdollisessa riitatilanteessa täytäntöönpanokelpoisia samaan tapaan kuin oikeuden päätökset. Sopimukset on hyvä tehdä lastenvalvojalla, jos ero on ollut raskas ja sekava. Paperille kirjatut asiat tuovat selkeyttä vanhempien arkeen, sekä turvaa ja ennakoitavuutta lapsen elämään. 

Lastenvalvojalla asioista voidaan sopia hyvinkin yksinkertaisesti ja lyhyesti, tai tarpeen mukaan esimerkiksi tarkkoja kellonaikoja ja lasten vaihtopaikkoja myöten. Siitä, missä osoitteessa lapsi on kirjoilla, täytyy päättää heti erilleen muutettaessa, koska lapsella voi olla vain yksi virallinen osoite. Asia ei vaikuta tasa-arvoiseen vanhemmuuteen, mutta sen mukaan määräytyy esimerkiksi lapsen koulualue ja etuuksien maksu. 
 
**4. Miten vanhemmuus rakentuu eron jälkeen**

On hyvä rakentaa oma vanhemmuus eron jälkeen niin, että se ei ole tauolla, kun lapset ovat toisella vanhemmalla. Lasta voi vuoroasumisessa vaikka viedä harrastuksiin ja olla yhteydessä muutenkin. On hyödyllistä miettiä ja sopia yhdessä arjen asioita: miten kommunikoidaan, miten tavarat liikkuvat tai miten toimitaan, jos joku sairastuu.

On hyvä sopia, mitä tietoa haluaa siltä ajalta, kun lapsi on toisessa kodissa ja miten tietoa välitetään vanhempien välillä. Haluatko esimerkiksi tietää, miten lapsi on nukkunut tai millä mielellä ollut? Sovi myös miten lapsen kuulumisista päiväkodissa tai koulussa kerrotaan toiselle. Keinoja viestien välittämiseen on monia: yhteinen juttutuokio vaihdon yhteydessä, jonkinlaiset viikkoviestit, whatsapp-ryhmä tai vaikka reissuvihko. 

**5. Älä luovu toivosta**

Eron alussa elämä voi olla surullista, kaoottista ja vaikeaa. Vaikka alku tuntuisi vaikealta, kannattaa muistaa, että tilanne ei jää pysyväksi. Lastenvalvojat näkevät usein työssään kuinka jo esimerkiksi puolen vuoden jälkeen asiat rauhoittuvat. Alun kriisin keskellä kannattaa muistaa, että toivosta ei pidä luopua.

*Neuvot: Helsingin kaupungin perheoikeudellisten asioiden lastenvalvoja Vilhelmiina Valkeus ja toinen johtava lastenvalvoja Nora Blom*

#### Minitarina erosta: ""Elämän realiteetti""

Kuuntele Antin tarina erovanhemmuudesta.",Ero ja lapset;Mieti erotarina lapselle,exercise_5,47-960811c8-4307-43fa-90ae-69bf953c5ac7,1-70940341;1-70940309,"“Muista, vanhemman ja lapsen välinen rakkaus säilyy”",,,,,erokurssi_5_ero_ja_vanhemmuus,video_top;audio,"#### Millaista vanhemmuus on eron jälkeen?

Lisää Antin ajatuksia voit kuunnella [Melkein kaikki erosta -podcastista?](https://areena.yle.fi/podcastit/1-70720974). Jaksosta saat myös lisää oivalluksia, apua ja tukea. 

![](https://lusi-dataviz.ylestatic.fi/2023-kurssipaketti/assets/img/erokurssi_podcast.png)\
[Seuraa meitä myös somessa](https://www.instagram.com/ylemelkeinkaikkielamasta/).",
exercise,"*Videon sisältö tiivistettynä: Pettäjä on väärin tehnyt hirviö ja petetty reppana, jota pitää sääliä. Tällaisen tarinan me usein liitämme uskottomuuteen. Se on inhimillistä, mutta ei kuitenkaan tarpeellista. Tärkeämpää on selvittää, miksi tilanteeseen on päädytty. Mistä uskottomuus johtui ja mihin tarpeeseen se vastasi? Miettikää myös, haluatteko käsitellä asioita ja jatkaa yhdessä.*

#### Tehtävät:

**Jos sinua on petetty:**

1. Huolehdi ensimmäiseksi perustarpeistasi ja -tunteistasi. Lepää, syö hyvin ja karsi kaikki muu ylimääräinen elämästäsi hetkeksi. Pyydä apua ja tukea läheisiltäsi.
2. Mieti, mikä suhteessa on mielestäsi ollut huonosti. Entä hyvin? Kysy itseltäsi, onko suhde sellainen, että haluaisit oikeasti jatkaa sitä.

**Jos olet ollut uskoton:**

1. Pohdi, miksi olit uskoton. Mihin tarpeeseen uskottomuus vastasi, miksi se tuntui hyvältä?
2. Mieti, mitä oikeasti haluat. Minkä pitäisi nykyisessä suhteessa muuttua, että voisit jatkaa sitä?
3. Jos haluat jatkaa suhdetta, ja toinen osapuoli on siihen valmis, oletko valmis katumaan ja osoittamaan sen aidosti? Pystytkö jatkossa avoimesti kertomaan, minne menet ja kenen kanssa?

**Molemmille yhdessä:** 

1. Puhukaa avoimesti toiveistanne ja tarpeistanne. Jos päätätte jatkaa yhdessä, voi tämä olla myös mahdollisuus kertoa omista toiveistanne sekä parantaa suhteenne vuorovaikutusta. Tästä eteenpäin on uskallettava olla täysin avoin. Vain sillä tavalla suhde voi jatkua ja toimia tasavertaisena.

#### Minitarina erosta: ""Mä saan olla vihainen tästä""

Kuuntele Marikan tarina uskottomuudesta.",Miten selvitä uskottomuudesta?;Kysy itseltäsi nämä tärkeät kysymykset,exercise_6,47-f7843da1-4b4e-44fd-a72d-ebf934d3da3a,1-70940321;1-71066865,"“Vaikka toinen oli uskoton, sinä et ole viallinen”",,,,,erokurssi_6_uskottomuus,video_top;audio,"#### Miten pettämisestä pääsee yli?

Lisää Marikan ajatuksia voit kuunnella [Melkein kaikki erosta -podcastista](https://areena.yle.fi/podcastit/1-70720978). Jaksosta saat myös lisää oivalluksia, apua ja tukea.

![](https://lusi-dataviz.ylestatic.fi/2023-kurssipaketti/assets/img/erokurssi_podcast.png)\
[Seuraa meitä myös somessa](https://www.instagram.com/ylemelkeinkaikkielamasta/).",
exercise,"*Videon sisältö tiivistettynä: Kaikki käyvät eron ympärillä läpi samoja tunteita, kuten surua, hylätyksi tulemisen tunnetta ja vihaa. Eron herättämät tunteet on tärkeä oppia tunnistamaan ja käsittelemään rakentavasti. Niitä ei tarvitse peitellä, hävetä tai tukahduttaa.*

#### Tehtävät:

**Kirjoita vihalista tai piirrä vihakuva**\
Kirjoita vihalista tai piirrä ruma kuva, johon purat vihasi. Viha on tärkeää saada ulos kehosta ja mielestä, ettei se jää vellomaan pitkäksi aikaa. Kun vihalista tai -piirros on valmis, voit polttaa tai repiä sen. 

**Herättele suru**\
Kuuntele surullisia biisejä tai katso surullisia elokuvia. Kirjoita paperille, mitä päättyneestä ihmissuhteesta ikävöit, ja mistä jouduit luopumaan. Suru on tärkeää käsitellä, ettei se tukahdu sisällesi liian pitkäksi aikaa.

**Puhu ja kerro tunteistasi**\
Tunteista puhuminen vaikkapa hyvien ystävien kanssa on tärkeää. Avoimuus voi helpottaa oloasi ja auttaa muita ymmärtämään sinua vaikealla hetkellä. Kysy myös muilta, millaisia tunteita he ovat kokeneet. Vertaistuella on iso vaikutus. Voi olla hyvä kertoa erosta myös työpaikalla ainakin lähimmille ihmisille.

#### Minitarina erosta: ""Puhuminen auttoi hirveän paljon""

Kuuntele Petrin tarina eroon liittyvistä tunteista.","Tunteet, joita ei voi väistää;Kirjoita vihalista ja herättele suru näillä vinkeillä",exercise_7,47-86e643c8-128a-4096-9c22-9bf267808bd1,1-70940335;1-70940307,“Opettele tunnistamaan tunteet”,,,,,erokurssi_7_viha_ja_kaikki_muu,video_top;audio,"#### Mitä tunteita erossa pitää käydä läpi?

Lisää Petrin ajatuksia voit kuunnella [Melkein kaikki erosta -podcastista](https://areena.yle.fi/podcastit/1-70720982). Jaksosta saat myös lisää oivalluksia, apua ja tukea. 

![](https://lusi-dataviz.ylestatic.fi/2023-kurssipaketti/assets/img/erokurssi_podcast.png)\
[Seuraa meitä myös somessa](https://www.instagram.com/ylemelkeinkaikkielamasta/).",
exercise,"*Videon sisältö tiivistettynä: Mitä tarvitset parisuhteelta? Miksi haluat suhteeseen, millaisia asioita toiselta arjessa haluat ja miten toivot tulevasi kohdatuksi? Osaatko kertoa tarpeistasi myös toiselle? Jos sinun ja kumppanisi toiveet ja tarpeet eivät arjessa kohtaa, saattavat toisen tarpeet kääntyä toiselle vaatimuksiksi. Silloin toinen kokee torjuntaa ja hylkäämistä, toinen taas riittämättömyyttä. Tämän takia omista tarpeista ja toiveista ei kannata tinkiä rakkauden edessä.*

#### Tehtävät:

**1. Kysy itseltäsi nämä kysymykset**

Kysymysten avulla pääset omien tarpeidesi äärelle.

* Puuttuuko tai puuttuiko suhteestani jotain olennaista, mitä eniten kaipaan?
* Missä hetkissä kaipaan toista rinnalleni?
* Mitä haluaisin kaikkein mieluiten tehdä mahdollisen kumppanin kanssa? Valitse yksi asia. 

**2. Pohdi, mitä alla olevat asiat sinulle konkreettisesti tarkoittavat ja mitä niiltä kaipaat.**

* Millainen minun seksuaalisuuteni on?
* Millaista seksiä haluan? Kuinka usein sitä tarvitsen?
* Millaista kosketusta kaipaan?
* Millaiset tavat kertoa ja näyttää rakkautta ovat minulle tärkeitä? Miten näytän sitä itse, mitä toiselta odotan?

**3. Haaveile**

* Mistä haaveilet tällä hetkellä? Jos saisit käsikirjoittaa unelmiesi päivän, ihan utopistisenkin, mitä siihen kuuluisi?

#### Minitarina erosta: ""Omien tarpeiden tunnistaminen on tosi tärkeää""

Kuuntele Saaran tarina tarpeista ja niiden sanoittamisesta.",Minä ja minun tarpeet;Tunnista ja pohdi tarpeitasi näiden kysymysten avulla,exercise_8,47-9bdfe4cd-43e2-4aca-872d-1f5a450de213,1-70940323;1-70940305,"“Mieti, mitä tarvitset parisuhteelta”",,,,,erokurssi_8_tarpeet,video_top;audio,"#### Mitä erotessa pitäisi oppia itsestä?

Lisää Saaran ajatuksia voit kuunnella [Melkein kaikki erosta -podcastista](https://areena.yle.fi/podcastit/1-70720986). Jaksosta saat myös lisää oivalluksia, apua ja tukea. 

![](https://lusi-dataviz.ylestatic.fi/2023-kurssipaketti/assets/img/erokurssi_podcast.png)\
[Seuraa meitä myös somessa](https://www.instagram.com/ylemelkeinkaikkielamasta/).",
exercise,"*Videon sisältö tiivistettynä: Jotkut puhkeavat eron jälkeen kukkaan. Erohuuma voi olla seurausta vaikkapa siitä, että vihdoinkin on aikaa pysähtyä itsensä äärelle ja tutustua itseensä uudelleen. Joskus taas vaikean tai pitkän parisuhdekriisin jälkeen toivo alkaa lisääntyä. Eron jälkeen vapaus, uusi alku ja yksin selviämisen tunne voi tuntua huumaavalta ja elämä ihanalta. Niin saakin olla. Elämästä nauttimisen rinnalla on tärkeää muistaa, ettei ikäviä tunteita kannata paeta. Niiden äärelle pysähtyminen voi jopa lisätä hyvää oloa.*

#### Tehtävä:

**Tutustu itseesi ja ota haltuun terve erohuuma:** 

1. **Käsittele ikävät tunteet**\
Kirjoita tai piirrä tunteesi paperille ja puhu niistä läheisillesi.

2. **Valjasta viha energiaksi ja luovuudeksi**\
Kirjoita vihalista tai piirrä vihakuva. Katso lisäohjeet harjoituksesta: Tunteet, joita ei voi väistää.

3. **Mieti ja tee niitä asioita, joista nautit ja koet onnea**\
Herättele uudestaan esimerkiksi joku sinulle tärkeä harrastus.

4. **Ota vastuu omasta onnestasi!**\
Tee asioita, joista saat nautintoa, onnea ja rauhaa. Mieti, mihin suuntaan haluat elämässäsi mennä.

5. **Hakeudu sellaisten ihmisten seuraan, joiden kanssa sinulla on hyvä ja arvostettu olo**

6. **Tutustu itseesi muiden ihmisten kautta**\
Tutustu rohkeasti uusiin ihmisiin. Mitä enemmän joudut kertomaan tarpeitasi ja halujasi muille, sitä paremmin tutustut itseesi.

#### Minitarina erosta: ""En suostu häpeämään itseäni""

Kuuntele Miran tarina erohuumasta.",Huumaantunut erosta?;Pysähdy ja tutustu itseesi,exercise_9,47-fcf63025-6a6f-46b9-bdfc-e3c129d92ea7,1-70940339;1-70940187,“Uusi alku voi tuntua huumaavalta”,,,,,erokurssi_9_erohuuma,video_top;audio,"#### Seksiä ja seikkailuja, sitäkö on eronneen elämä?

Lisää Miran ajatuksia voit kuunnella [Melkein kaikki erosta -podcastista](https://areena.yle.fi/podcastit/1-70720990). Jaksosta saat myös lisää oivalluksia, apua ja tukea. 

![](https://lusi-dataviz.ylestatic.fi/2023-kurssipaketti/assets/img/erokurssi_podcast.png)\
[Seuraa meitä myös somessa](https://www.instagram.com/ylemelkeinkaikkielamasta/).",
exercise,"*Videon sisältö tiivistettynä: Tunteiden laannuttua ja etäisyyden myötä on mahdollisuus nähdä selkeämmin päättynyt suhde ja osuutesi siinä. Tässä kohtaa voit myös ottaa mukaasi tärkeitä oppeja: Mitä en enää hyväksy tulevilta suhteilta? Mitä tekisin itse toisin? Millä asetuksilla menen mahdolliseen uuteen suhteeseen tai haluanko edes uutta kumppania?*

#### Tehtävät: 

**Esitä itsellesi nämä kysymykset ja pohdi tulevaisuuttasi**

Usein hyvä erokeskustelu on mahdollista käydä vasta, kun kumpikin on selvittänyt omia tunteitaan ja ymmärtää oman osuuteensa ja sen, miksi suhde oikeasti päättyi. Hyvä ero on myös mahdollinen ilman toista osapuolta. Se tarkoittaa, että käyt itse läpi omat tunteesi ja otat vastuun omasta elämästäsi.

1. Kenen oppien mukaan elän ja olen elänyt elämääni? Olenko tehnyt omien toiveideni mukaan vai ennemminkin ajatuksella “näin kuuluu elää ja tehdä”.
2. Mitkä asiat elämässäni ovat hyviä ja tekevät minut onnelliseksi?
3. Mitä haluan tulevaisuudelta?
4. Mihin voin itse vaikuttaa ja mistä koen merkityksellisyyttä?
5. Mitkä asiat elämässäni ovat hyvin, ja mistä olen kiitollinen?

**Käy hyvä erokeskustelu**

Jos keskustelu ex-kumppanin kanssa on mahdollista, jutelkaa ainakin alla olevat asiat läpi. Olkaa avoimia ja kunnioittavia toisianne kohtaan. Jos erokeskustelu ei onnistu yhdessä, pohdi alla olevia kysymyksiä yksin. Sekin auttaa.

1. Miettikää yhdessä, miksi erositte.
2. Puhukaa ja kuunnelkaa. On tärkeää, että molemmille jää kuultu ja nähty olo.
3. Pyytäkää anteeksi ja ymmärtäkää oman osuutenne erossa. Miten oma käytös ja omat tunteet ovat vaikuttaneet tilanteeseen.
4. Irrottautukaa parisuhteesta ja toisen kontrolloinnista. Ystävystyminen voi olla mahdollista vasta sen jälkeen.

#### Minitarina erosta: ""En ehkä olisi tällainen ilman eroa""

Kuuntele Jussin ajatuksia, kun erosta on jo aikaa.",Kun erosta on jo aikaa;Pohdi tulevaisuuttasi ,exercise_10,47-39d4b609-a3fc-4cd9-ad2e-1243ee18aae6,1-70940325;1-70940315,“Ero ei ole epäonnistuminen”,,,,,erokurssi_10_kun_erosta_on_kulunut_aikaa,video_top;audio,"#### Kuinka kauan kestää päästä yli erosta?

Lisää Jussin ajatuksia voit kuunnella [Melkein kaikki erosta -podcastista](https://areena.yle.fi/podcastit/1-70720997). Jaksosta saat myös lisää oivalluksia, apua ja tukea. 

![](https://lusi-dataviz.ylestatic.fi/2023-kurssipaketti/assets/img/erokurssi_podcast.png)\
[Seuraa meitä myös somessa](https://www.instagram.com/ylemelkeinkaikkielamasta/).",
title,,"Jos olosi on eron jäljiltä toivoton, älä jää yksin!",,,,,,,,,,,,
paragraph_section,"Muista nämä toivoa lisäävät asiat nyt ja tulevaisuudessa

1. **Ihmissuhteet ja ystävät lisäävät toivoa**\
Vietä aikaa läheisten kanssa ja pyydä heiltä tarvittaessa apua. Mieti myös, missä voit tavata uusia ihmisiä.

2. **Ole kiitollinen**\
Kiinnitä huomiota asioihin, joihin voit itse vaikuttaa. Se voi helpottaa oloasi.

3. **Toimi ja tee asioita itse**\
Ota ohjat omiin käsiisi niissä asioissa, joissa voit.

4. **Mieti, mitkä asiat ovat sinulle merkityksellisiä**\
Läheiset, ystävät, lapset, eläimet, toisten auttaminen - mitkä asiat elämässäsi ovat merkityksellisiä? Minkä takia sinulla on vaikeallakin hetkellä syy nousta, jaksaa ja jatkaa elämää?

5. **Käsittele tunteesi ja opettele sietämään epämukavatkin tunteet**

6. **Konkreettinen tekeminen**\
Piirrä, maalaa seiniä, leivo, remontoi. Keskitä huomiosi johonkin mieluisaan. Se muistuttaa ja antaa varmuuden kykeneväisyydestäsi.

7. **Lisää hyvää oloa**\
Esimerkiksi luonto, liikunta, kauniit asiat, kosketus ja muiden auttaminen ovat asioita, jotka lisäävät hyvän olon hormoneja sekä merkityksellisyyden tunnetta.

8. **Muista, sinä olet tärkeä**\
Kerro itsellesi, että sinä olet tärkeä ja huolehdit itsestäsi.",,,,,,,,,,,,,
paragraph_section,"**Apua eron läpikäymiseen voit saada myös täältä:**

* [Apuaeroon.fi](https://apuaeroon.fi/)
* [Väestöliitto – Tietoa erosta](https://www.vaestoliitto.fi/parisuhteet/tietoa-parisuhteesta/tietoa-erosta/)
* [Kasper –  Kasvatus- ja perheneuvonta ry](https://suomenkasper.fi/)
* [Mielenterveystalo.fi – erokriisin omahoito-ohjelma](https://www.mielenterveystalo.fi/fi/omahoito/erokriisin-omahoito-ohjelma)",,,,,,,,,,,,,
title,,Anna meille palautetta,,,,,,,,,,,,
poll_section,,,,47-a6ca5d78-5603-4a34-ae58-09d52440a8cc,,,,,,,,,,
poll_section,,,,47-e1354ecb-247d-4d98-8089-d64ce4ec551f,,,,,,,,,,
paragraph_section,"#### Ruusut ja risut

Haluaisimme kuulla, mitä pidit harjoituskokonaisuudesta. Anna meille palautetta tällä [lomakkeella](https://docs.google.com/forms/d/e/1FAIpQLScw5PiNXupcvF7ZJx9ZiVJ4d7o5IBB_zyyuwoniuQuUHAaqnw/viewform?usp=sf_link) (siirryt google formsiin).

#### Melkein kaikki erosta -podcast

[Kuuntele Yle Areenassa](https://areena.yle.fi/podcastit/1-70713019)

![](https://lusi-dataviz.ylestatic.fi/2023-kurssipaketti/assets/img/erokurssi_podcast.png)\
[Seuraa meitä myös somessa](https://www.instagram.com/ylemelkeinkaikkielamasta/).",,,,,,,,,,,,,
title_section,,Tutustu muihin kurssisisältöihin!,,,,,,,,,,,,
paragraph_section,Haluatko oppia paremmaksi keskittyjäksi? Etsitkö helppoja keinoja rentoutua? Kiinnostavatko muistitekniikat tai kutsumuskarttaharjoitus? [Ylen kurssisisällöt tarjoavat arkeen mahtuvia harjoitteita tavoitteidesi saavuttamiseen](https://yle.fi/aihe/a/20-10005632).,,,,,,,,,,,,,
title_section,,Jaa ajatuksesi ja oivalluksesi,,,,,,,,,,,,
paragraph_section,"Mikä sinua on auttanut eron hetkellä? Mitä olet oppinut itsestäsi eron myötä? Voit osallistua keskusteluun alla. Huomioithan, että Yle-sovelluksessa keskusteluosio löytyy sivun ylälaidasta. ",,,,,,,,,,,,,
paragraph_section,"**Tekijät:**\
Asiantuntija: eroterapeutti Viivi Niinikangas\
Toimittajat: Reetta Arvila ja Mira Pelo\
Videot: Juuso Koivisto\
Kuvat: Jukka Lintinen\
Visuaalisuus: Kiira Natunen ja Annukka Palmén-Väisänen\
Koodaus: Teemo Tebest\
Tekstin editointi: Emilia Tykki\
Konsepti: Anna Karhunen ja Mira Pelo\
Tuottajat: Kaisa Kirves ja Terhi Vuorinen

**Julkaistu:** 5.6.2024",,,,,,,,,,,,,
