type,content,title,group,poll_id,areena_id,areena_caption,ims_id,image_caption,image_copyright,background,extra,areena_extra,footer,internal comment
title_section,,Mitä mieltä harjoituksista?,,,,,,,,,,,,
poll_section,,,,47-b5bc142a-0f80-404a-8412-97c8c65d78a5,,,,,,,,,,Tämä on kyssäri osio eli vain poll_id täytetään
poll_section,,,,47-1aebeb16-31fc-4393-a428-1b902424e466,,,,,,,,,,Tämä on kyssäri osio eli vain poll_id täytetään
poll_section,,,,47-a2487bef-4850-4e7a-ad05-fc2e1bedcfe7,,,,,,,,,,Tämä on kyssäri osio eli vain poll_id täytetään
paragraph_section,"Haluaisimme kuulla vielä tarkemmin, mitä pidit harjoituskokonaisuudesta! [Anna meille palautetta tällä lomakkeella (siirryt google formsiin).](https://forms.gle/2Gs4Dk2yu78M21vQ8)",,,,,,,,,,,,,
title_section,,Kiinnostuitko aiheesta?,,,,,,,,,,,,Jos jotain ei halua niin poista rivi
paragraph_section,"Lauri Järvilehto avaa muisti- ja ajattelutaitoja myös [Tämäkin on totta -luentosarjan](https://areena.yle.fi/1-61690735) jaksossa Yle Areenassa. Jos olet opiskelija, kurkkaa, mitkä muistitekniikat sopivat erityisesti opiskeluun.

Juontaja **Sean Ricks** saa apua hajamielisyyteensä muistamisen maailmanmestarilta [Superihmiset-sarjan jaksossa](https://areena.yle.fi/1-63867748) Yle Areenassa.",,,,,,,,,,,,,
title_section,,Tutustu muihin kurssisisältöihin!,,,,,,,,,,,,
paragraph_section,Haluatko oppia paremmaksi keskittyjäksi? Etsitkö helppoja keinoja rentoutua? Kiinnostavatko muistitekniikat tai kutsumuskarttaharjoitus? Vai haluatko löytää apua eron pohtimiseen? [Ylen kurssisisällöt tarjoavat arkeen mahtuvia harjoitteita tavoitteidesi saavuttamiseen](https://yle.fi/aihe/a/20-10005632).,,,,,,,,,,,,,
paragraph_section,"**Tekijät:**\
Toimittaja: Anna Horppu\
Kuvat: Jussi Meling, Jade Lönnqvist\
Visuaalisuus: Tomi Paijo\
Koodaus: Teemo Tebest\
Editointi ja tuotanto: Henna-Leena Kallio, Tiia Lappalainen\
Sometoimittaja: Anni Huttunen\
Tuottajat: Anna-Leena Lappalainen, Lulu Salmi

**Julkaistu:** 18.11.2023, *muokattu 7.12. klo 13.00, poistettu wa-yhteisön linkki, koska yhteisön toiminta loppui.*",,,,,,,,,,,,,
