type,content,title,group,poll_id,areena_id,areena_caption,ims_id,image_caption,image_copyright,background,extra,areena_extra,footer,internal comment
paragraph_section,"Testaa ohjattua [hypnoosiharjoitusta](https://yle.fi/aihe/a/20-10004983). Hypnoosi on syvä rentoutuneisuuden tila, joka voi muun muassa auttaa poistamaan erilaisia mielessä olevia esteitä.

Kokeile muutaman minuutin [kävelymeditaatiota](https://yle.fi/aihe/a/20-10004982), joka yhdistää kävelyn ja mielen rauhoittamisen.",,,,,,,,,,,,,
title_section,,Minnan vinkit harjoitteluun:,,,,,,,,,,,,
paragraph_section,"#### Miksi harjoitukset ovat niin lyhyitä?

**Minna:** Lyhyet harjoitukset on helppo toteuttaa missä ja milloin vain. Harjoituksilla ei kuitenkaan ole mitään aikarajaa – halutessaan niitä voi toistaa pidemmänkin aikaa.

#### Kuinka nopeasti harjoitukset tuovat muutosta elämään?

**Minna:** Usein toivomme nopeaa muutosta entiseen. Se on ymmärrettävää. Harjoitukset ovat yksinkertaisia, mutta ne eivät ole taikatemppuja. Harjoitusten tavoitteena on, että hermostomme oppisi uuden, rauhallisemman toimintatavan erilaisiin tilanteisiin. Muutos voi viedä aikaa, mutta se kannattaa.

#### Millaisia muutoksia harjoituksilta voi odottaa?

**Minna:** Yhdenkin harjoituskerran jälkeen olo on yleensä jo rauhallisempi. Pinnallinen hengitys syventyy ja hengitysrytmi hidastuu. Kun osaamme rentoutua, vaikutus voi olla hyvin kokonaisvaltainen. Pystymme olemaan paremmin läsnä ihmissuhteissamme, ajattelemme kirkkaammin, kehomme on rauhallisempi ja mielemme positiivisempi.

#### Harjoitukset eivät nappaa. Mitä teen?

**Minna:** Se ei haittaa. Tärkeintä on, että tekisit harjoituksen joka tapauksessa. Sinun ei tarvitse ladata harjoituksille sen ihmeempiä odotuksia. Voit tehdä harjoituksen ja pysähtyä ihmettelemään sitä.

#### Mikä on paras vuorokaudenaika tehdä harjoituksia?

**Minna:** Harjoituksia voi tehdä milloin haluaa. Suosittelen tekemään harjoituksia ainakin illalla, koska silloin olisi erityisen tärkeää rentoutua ja rauhoittua.",,,,,,,,,,,,,
title_section,,Mitä mieltä harjoituksista?,,,,,,,,,,,,
poll_section,,,,47-6717024d-4ae2-4913-9ca6-19af0bced200,,,,,,,,,,
poll_section,,,,47-8cbba3f7-15f1-4233-bc87-707187e8cf0e,,,,,,,,,,
poll_section,,,,47-e2ad7ddc-a40e-47d8-b888-84d33ac28fbd,,,,,,,,,,
paragraph_section,"Haluaisimme kuulla vielä tarkemmin, mitä pidit harjoituskokonaisuudesta! [Anna meille palautetta tällä lomakkeella (siirryt google formsiin).](https://forms.gle/2Gs4Dk2yu78M21vQ8)",,,,,,,,,,,,,
title_section,,Kiinnostuitko aiheesta?,,,,,,,,,,,,
paragraph_section,"Stressinhallintaa käsitellään myös [Tämäkin on totta](https://areena.yle.fi/1-63448339) -miniluentosarjan jaksossa Yle Areenassa. 

Katso myös [Superihmiset-tiedesarjan jakso](https://areena.yle.fi/1-63867743), jossa toimittaja **Sean Ricks** opettelee hyödyntämään vagushermoaan siedättäessään itsensä kylmälle vedelle.",,,,,,,,,,,,,
title_section,,Tutustu muihin kurssisisältöihin!,,,,,,,,,,,,
paragraph_section,Haluatko oppia paremmaksi keskittyjäksi? Etsitkö helppoja keinoja rentoutua? Kiinnostavatko muistitekniikat tai kutsumuskarttaharjoitus? Vai haluatko löytää apua eron pohtimiseen? [Ylen kurssisisällöt tarjoavat arkeen mahtuvia harjoitteita tavoitteidesi saavuttamiseen](https://yle.fi/aihe/a/20-10005632).,,,,,,,,,,,,,
paragraph_section,"**Tekijät:**\
Toimittaja: Anna Horppu\
Kuvitus ja visuaalisuus: Annukka Palmén-Väisänen\
Koodaus: Teemo Tebest\
Editointi ja tuotanto: Henna-Leena Kallio, Tiia Lappalainen\
Sometoimittaja: Anni Huttunen\
Tuottajat: Anna-Leena Lappalainen, Lulu Salmi

**Julkaistu:** 18.11.2023. *Muokattu 7.12. klo 13.00, poistettu wa-yhteisön linkki, koska yhteisön toiminta loppui. Muokattu 11.6., vaihdettu uudet visuaaliset elementit ja pääkuvat. Muokattu 22.10.24: poistettu maininta keskustelumahdollisuudesta.*",,,,,,,,,,,,,
